Tröpfchen;v_fall;v_rise;time_fall;time_rise;spannung;luftviskosität;d;b;density;pressure;ladung
1;2.11954217888936e-05;0.0002008032128514;23.59;2.49;585;1.81e-05;0.0076;0.0082;886;94364.0;3.274798095821394e-19
2;2.158894645941278e-05;8.460236886632826e-05;23.16;5.91;585;1.81e-05;0.0076;0.0082;886;94364.0;1.585168589269228e-19
3;1.983339944466482e-05;8.680555555555556e-05;25.21;5.76;585;1.81e-05;0.0076;0.0082;886;94364.0;1.5068138364557e-19
4;2.471576866040533e-05;9.380863039399623e-05;20.23;5.33;585;1.81e-05;0.0076;0.0082;886;94364.0;1.9291235115891782e-19
5;2.04164965291956e-05;8.9126559714795e-05;24.49;5.61;585;1.81e-05;0.0076;0.0082;886;94364.0;1.5772476256952351e-19
6;1.975503753457132e-05;0.0001968503937007;25.31;2.54;585;1.81e-05;0.0076;0.0082;886;94364.0;3.052773302419662e-19
7;2.044153720359771e-05;0.000197628458498;24.46;2.53;585;1.81e-05;0.0076;0.0082;886;94364.0;3.14236055598457e-19
8;1.842978252856617e-05;9.328358208955224e-05;27.13;5.36;585;1.81e-05;0.0076;0.0082;886;94364.0;1.504622573447766e-19
9;1.708817498291182e-05;0.0001256281407035;29.26;3.98;586;1.824e-05;0.0076;0.0082;886;94364.0;1.849207098280495e-19
10;1.692620176032498e-05;0.000390625;29.54;1.28;586;1.824e-05;0.0076;0.0082;886;94364.0;5.2475585477689825e-19
11;1.23334977799704e-05;0.0001121076233183;40.54;4.46;586;1.824e-05;0.0076;0.0082;886;94364.0;1.293865993574337e-19
12;1.289324394017535e-05;0.0001295336787564;38.78;3.86;586;1.824e-05;0.0076;0.0082;886;94364.0;1.526748303245228e-19
13;1.316135825217162e-05;0.0002262443438914;37.99;2.21;586;1.824e-05;0.0076;0.0082;886;94364.0;2.6027199252109043e-19
14;1.151012891344383e-05;0.0001262626262626;43.44;3.96;586;1.824e-05;0.0076;0.0082;886;94364.0;1.365537769282638e-19
15;1.575299306868305e-05;0.0001210653753026;31.74;4.13;586;1.824e-05;0.0076;0.0082;886;94364.0;1.679480167697637e-19
16;1.810938065918145e-05;0.0002262443438914;27.61;2.21;580;1.82e-05;0.0076;0.0082;886;94364.0;3.311562694685327e-19
17;1.212709192335678e-05;0.0004504504504504;41.23;1.11;580;1.82e-05;0.0076;0.0082;886;94364.0;4.785287992020099e-19
